,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,mixing_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,sigma_3,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,col_norm_sq_3,rhs_0,rhs_1,rhs_2,rhs_3
0,crisp-sweep-99,4,99999.99999999999,10.55700242959722,-21.4154109954834,10.858411327726998,gaussian,0.0413072444498539,0.8644693745742846,0.016824623569846153,8,0.0413072444498539,0.03078087419271469,-1,0.14879274368286133,0.8644693745742846,17,0.8299047452619761,0.850929053109178,7.001471893659226,12,0.0016217849915847182,1.3092827430227771e-05,4.7726851335028186e-05,3.019103496626485e-05,2.981914803967811e-05,3.4947774111060426e-05,0.2372434791672937,0.35361659781989374,0.3332994600748549,0.2724482981608709,4.214901309391858e-05,2.8278415881751972e-05,3.000214874715585e-05,3.6702864502572714e-05
1,smart-sweep-98,4,99999.99999999999,6.4262651233265,-21.108091354370117,14.681827309331378,gaussian,0.1133117899298668,0.7728530313413664,0.014594447799026966,4,0.11331178992986679,0.09181541949510574,-1,0.058269500732421875,0.7728530313413664,23,0.695166967238389,0.7361990744815807,6.309566317662827,18,0.0008032110636122525,1.207862442242913e-05,3.960887624998577e-05,3.531323454808444e-05,4.391263428260572e-05,3.6328070564195514e-05,0.26221879830359285,0.2721220975428231,0.22643760551496062,0.28938376740658,3.813463686937465e-05,3.674685966959993e-05,4.416032564026973e-05,3.45549943580873e-05
2,visionary-sweep-98,4,99999.99999999999,24.48716710806341,-23.220260620117188,-1.2669095854803916,gaussian,0.007879837416112423,0.7791138406312771,0.002263041213154793,7,0.007879837416112423,0.010613820515573025,-1,0.10124167799949646,0.7791138406312771,25,0.7428813073670543,0.7721425022792738,8.390528326977432,20,2.5736326279002242e-05,1.2279356269573327e-05,2.6327606974518858e-05,2.8358574127196334e-05,4.051675568916835e-05,2.4656274035805836e-05,0.35535649599866304,0.3390063158351495,0.2353001813393263,0.3934876722714762,2.8139962862558723e-05,2.9497105398498325e-05,4.2497098693658385e-05,2.5413110939830282e-05
3,royal-sweep-95,4,99999.99999999999,20.374670700029775,-24.21815299987793,3.843479548179858,gaussian,0.021482745185494423,0.8873306677219341,0.007589069195091724,6,0.018414316698908806,0.01916193962097168,-1,0.01533198356628418,0.8890080568785411,14,0.8834872410264372,0.8884349519900285,14.051934383977791,15,0.0031289358157664537,3.587361061363481e-05,2.4167778974515386e-05,2.1975238269078545e-05,3.901472518919036e-05,2.5589888537069783e-05,0.45316968599833274,0.45910988936060804,0.26380301352208235,0.41822392844261813,2.2066302415940138e-05,2.1780803297209517e-05,3.7905635762592715e-05,2.3910064009481732e-05
4,lyric-sweep-93,4,99999.99999999999,22.48267131871119,-25.167724609375,2.685047782240953,gaussian,0.12717755138874054,0.6046222889257948,0.03117690607905388,2,0.12717755138874054,0.10066812485456467,-1,0.2806011438369751,0.6046222889257948,13,0.5597944505056658,0.5932067525485765,20.74356501377962,8,0.033325448632240295,6.319708336377516e-05,2.2372303646989167e-05,1.902537769638002e-05,0.00010241644486086443,1.8451668438501656e-05,0.4892398303860688,0.49590607612321946,0.10647938879846297,0.5218740886903674,2.0439455220881663e-05,2.0164702217710153e-05,9.390607001159104e-05,1.916134294320856e-05
5,ancient-sweep-90,4,99999.99999999999,9.223042572957102,-20.962533950805664,11.739485869425703,gaussian,0.1100793555378914,0.7762749693929026,0.018649546429514885,2,0.11007935553789139,0.13183671236038208,-1,0.7780570983886719,0.7762749693929026,19,0.6755579871290799,0.7393106103069472,7.476074486667817,14,0.038451552391052246,1.629496182431467e-05,6.139297329355031e-05,2.1813688363181427e-05,4.797222572960891e-05,3.411109355511144e-05,0.15580288087321836,0.4605551728327697,0.21642579806783502,0.2873064933819478,6.417954628627134e-05,2.1712453719619355e-05,4.620307772222511e-05,3.4804824054101114e-05
6,solar-sweep-91,4,99999.99999999999,15.525570004273492,-24.467504501342773,8.941928398639913,gaussian,0.09511568397283554,0.6770815069182707,0.032453566789627075,6,0.13151052594184875,0.07396145910024643,-1,0.1879671812057495,0.7157868024376635,0,0.6658916995342475,0.6611083501619209,11.894696383046401,12,0.0560038760304451,2.2205314962775446e-05,4.292021185392514e-05,1.9894703655154444e-05,2.909257818828337e-05,1.864524710981641e-05,0.26298802594305926,0.485731186064303,0.37301507673136314,0.48877733779342236,3.8023099086550046e-05,2.058709511751427e-05,2.6807849187044274e-05,2.045879511761479e-05
7,comic-sweep-86,4,99999.99999999999,12.378130423128956,-21.705488204956055,9.327356240689396,gaussian,0.06592431664466858,0.5969820472188648,0.01567106880247593,2,0.05468353256583214,0.04049946740269661,-1,0.22269082069396973,0.6403461117120115,0,0.626198001647933,0.5996052393787586,11.178732886959976,10,0.022304954007267952,3.3214964787475765e-05,4.290169817977585e-05,3.518423909554258e-05,6.434539682231843e-05,3.075287531828508e-05,0.22743808359738082,0.30326216245909166,0.1742255734058853,0.33303152100620537,4.396607718929647e-05,3.297368251314164e-05,5.73935609389295e-05,3.0026286121284194e-05
8,fearless-sweep-83,4,99999.99999999999,54.88069076241448,-27.582921981811523,-27.297765820397892,gaussian,0.019155427813529968,0.7806656021472643,0.01873837225139141,15,0.019155427813529968,0.024244315922260284,-1,0.2899649143218994,0.7806656021472643,17,0.7782332932252782,0.7660070092378936,44.95066818281044,12,0.0018721765372902155,0.0001732084492687136,1.2751362191920634e-05,1.5091451132320799e-05,2.8612981623155065e-05,2.6052595785586163e-05,0.8886076020191922,0.612962611023832,0.35340963338973097,0.3267120691203331,1.1253434522653111e-05,1.631394261367937e-05,2.8294975873546255e-05,3.060705396156438e-05
9,solar-sweep-84,4,99999.99999999999,5.5145449190235585,-19.94032096862793,14.425774416913924,gaussian,0.02192796766757965,0.8095842318479471,0.009518011473119259,2,0.02192796766757965,0.013499641790986061,-1,0.3963179588317871,0.8095842318479471,18,0.765497813281338,0.8018983738861503,5.314071850093076,13,0.004334075842052698,1.2605736628756858e-05,3.991695120930672e-05,3.127259333268739e-05,4.543165778159164e-05,6.301701068878174e-05,0.24160417373999454,0.30066285728777586,0.23459012616727026,0.1492171887808178,4.1388300384898715e-05,3.3258738717572165e-05,4.262572302655108e-05,6.701191707556604e-05
